"Timestamp","1. Do you agree to participate in this survey?","2. What is your year of study?","3. Which school are you enrolled in?","4. Have you searched for an internship during your undergraduate studies?","5. Have you completed an internship during your undergraduate studies?","6. I am aware of KIU internship support services.","7. Have you used any KIU internship support services?","8. Which KIU internship support services have you used? Select all that apply.","9. Internship-related information is easy to find.","10. Communication about internship opportunities is clear and timely.","11. KIU provides useful support for internship applications.","12. KIU provides useful CV or resume support.","13. KIU provides useful interview preparation support.","14. KIU provides helpful employer or industry connections.","15. Internship support services are easy to access.","16. Overall, I am satisfied with KIU internship support services.","17. KIU support services have improved my internship readiness.","18. What is the main reason you have not used KIU internship support services?","19. I feel confident finding internship opportunities.","20. I feel confident preparing a strong CV or resume.","21. I feel confident preparing for internship interviews.","22. I understand what employers expect from interns.","23. Which improvement would help students the most?","24. What is the biggest weakness of KIU internship support services?","25. What improvement would you suggest for KIU internship support services?"
"2026/06/28 1:24:17 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know how to access them","1","3","5","1","Earlier communication about internship opportunities","",""
"2026/06/28 1:24:55 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know how to access them","2","2","3","1","Earlier communication about internship opportunities","I do not know how KIU helps in internship, I do not know any information, maybe lack of information?","For students to be more informed about these services. Thank you!"
"2026/06/28 1:26:27 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","2","2","2","1","Earlier communication about internship opportunities","",""
"2026/06/28 1:34:00 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","2","2","2","1","Earlier communication about internship opportunities","I didnt know we had that","More meetings"
"2026/06/28 1:43:39 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","3","4","2","2","1","3","1","1","2","The available services did not seem relevant to my field","2","3","4","4","More school-specific internship guidance","not enough relevant internships",""
"2026/06/28 2:27:57 pm GMT+4","Yes, I agree to participate","4th year","Management","Yes","Yes","5","No","","","","","","","","","","","Other","3","4","3","4","More school-specific internship guidance","",""
"2026/06/28 2:30:03 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","2","No","","","","","","","","","","","I did not know the services existed","5","5","4","2","Earlier communication about internship opportunities","They're nonexistent to people until youre about to finish the university ","Idk"
"2026/06/28 2:36:41 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","4","Yes","Internship information or announcements","1","2","2","3","3","4","1","1","1","I did not know the services existed","2","1","2","3","One central internship information platform","",""
"2026/06/28 2:38:19 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","4","No","","","","","","","","","","","I knew about them but did not need them","3","5","5","5","One central internship information platform","",""
"2026/06/28 2:38:48 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I planned to use them later","3","4","3","4","Earlier communication about internship opportunities","",""
"2026/06/28 2:39:34 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","2","No","","","","","","","","","","","I did not know how to access them","2","3","4","4","Earlier communication about internship opportunities","",""
"2026/06/28 2:42:18 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements;CV or resume support;One-to-one advising","3","3","3","3","3","3","3","4","4","Other","3","4","5","3","More employer and alumni networking events","Not frequent communication with us","Be more active"
"2026/06/28 2:42:19 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","No","3","No","","","","","","","","","","","I did not know the services existed","3","4","4","3","Earlier communication about internship opportunities","Lack of information about new internship or job opportunities. They email us several days after registration starts, when first few days are really important for some job vacancy.",""
"2026/06/28 3:11:07 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","5","Yes","Internship information or announcements;One-to-one advising","2","5","4","3","3","4","3","3","3","I planned to use them later","4","2","1","2","More employer and alumni networking events","I guess awareness.. we don't get good advice about when to apply, where to apply. We don't even know which company is better, what qualities should we look for.. etc. I fthere were events abt these topics or meetings, it would help alot!","ARRANGE MORE EVENTS/MEETINGS AND COMMUNICATE WITH STUDENTS TILL IT'S LATE!"
"2026/06/28 3:12:21 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know how to access them","1","2","2","2","More employer and alumni networking events","",""
"2026/06/28 3:13:00 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","1","1","1","2","Earlier communication about internship opportunities","",""
"2026/06/28 3:17:51 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","3","4","3","2","More mock interview practice","","Add training as a part of the course since internship is in the cs subjects, it shouldn't just be you work and get assessed by it, with no prior experience or training."
"2026/06/28 3:34:16 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","3","3","3","One central internship information platform","almost everything need bachelor degree ","to have more opportunities for undergraduate students "
"2026/06/28 7:29:25 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","2","1","1","3","Earlier communication about internship opportunities","Not enough information ",""
"2026/06/29 5:11:58 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I did not know the services existed","2","2","4","3","More school-specific internship guidance","Sometimes students have to search for opportunities themselves and may not know where to look or how to prepare for applications. More frequent communication about available internships, deadlines, and requirements would make the process easier, especially for students who are applying for internships for the first time.","I would suggest creating a more structured internship support system with a dedicated platform where students can easily find internship opportunities, receive updates, and access resources such as CV templates, interview preparation, and career advice"
"2026/06/29 8:04:27 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","1","4","3","4","Earlier communication about internship opportunities","Not telling they exist","Talk more loud"
"2026/06/30 11:37:47 am GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I did not know how to access them","4","4","4","4","More school-specific internship guidance","",""
"2026/06/30 11:58:32 am GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","3","No","","","","","","","","","","","The available services did not seem relevant to my field","3","3","3","4","More employer and alumni networking events","they do not support as needed","focus on helping students not just by saying this or that should work, but actually directing on further steps"
"2026/06/30 12:12:58 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","1","2","2","3","Earlier communication about internship opportunities","No prior communication of the expectations of internship. Students have to go through the process alone with minimal to no guidance ","Earlier communication and establishment of expectations regarding internships. Better and closer support of the internship selection process"
"2026/06/30 5:11:52 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","1","No","","","","","","","","","","","I did not know the services existed","4","4","4","4","One central internship information platform","didn't know if that kind of service existed, haven't heard if anyone was supported by KIU to find an internship.",""
"2026/07/01 3:05:33 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","I planned to use them later","3","2","3","4","Earlier communication about internship opportunities","",""
"2026/07/01 3:06:14 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","4","4","3","2","One central internship information platform","",""
"2026/07/01 3:09:51 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","2","4","2","2","Earlier communication about internship opportunities","",""
"2026/07/01 3:25:22 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","1","No","","","","","","","","","","","Other","1","4","4","4","Earlier communication about internship opportunities","",""
"2026/07/01 3:58:42 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","2","No","","","","","","","","","","","I did not know the services existed","5","5","5","4","More employer and alumni networking events","The PR because I barely know about it.","To have communication to students more frequently and organize some networking events"
"2026/07/01 4:20:26 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","4","5","3","More employer and alumni networking events","it is mainly supporting cs major or minor students, lacking support for management concentrations","more job affairs and international internships "
"2026/07/01 5:33:49 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","2","No","","","","","","","","","","","I did not know the services existed","2","3","2","2","Earlier communication about internship opportunities","It is not visible enough ","I would like it to be easily accessible for students "
"2026/07/01 10:54:46 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","1","3","1","1","Earlier communication about internship opportunities","",""
"2026/07/06 4:05:57 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","1","2","2","2","Earlier communication about internship opportunities","",""
"2026/07/06 4:11:53 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","No","No","1","No","","","","","","","","","","","I did not know the services existed","3","3","3","2","Earlier communication about internship opportunities","",""
"2026/07/06 4:19:03 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","4","3","2","1","More employer and alumni networking events","I think they are not accessible enough/common knowledge, they need to be more talked about","to provide more opportunities and try to support all students"
"2026/07/06 4:19:44 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","2","4","2","3","More school-specific internship guidance","The fact that I didn't know they existed","Specific internship for each school"
"2026/07/06 4:22:16 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","2","1","3","1","1","5","3","3","3","Other","4","4","4","4","Earlier communication about internship opportunities","There are not enough services","Maybe being up Internships from the first year"
"2026/07/07 3:06:15 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","No","No","4","No","","","","","","","","","","","I planned to use them later","2","3","1","2","More employer and alumni networking events","Not enough communication with students","Stay in regular contact with students"
"2026/07/07 3:13:40 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","2","2","2","2","One central internship information platform","They don’t offer much, finding internship is still hard, with time limit","Keeping students informed about more opportunities, more meaningful workshops"
"2026/07/07 3:15:49 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know the services existed","3","3","3","3","Earlier communication about internship opportunities","Lack of awareness about available services","Promote the services more, send regular emails/announcements, organize career events, and provide more internship opportunities"
"2026/07/07 4:36:31 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","Yes","Internship information or announcements;Employer or alumni events","2","2","1","3","3","3","3","2","2","I did not know how to access them","2","4","4","2","Earlier communication about internship opportunities","",""
"2026/07/07 4:36:40 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","3","2","3","1","1","4","2","3","3","Other","3","4","3","3","Earlier communication about internship opportunities","the opportunities we hear about are specific and there is not ""something for everyone"", also new opportunities ariae rarely","more eagerness from the administration side to help us"
"2026/07/07 4:39:20 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","3","No","","","","","","","","","","","I planned to use them later","1","4","4","3","One central internship information platform","Not helpful enough ","Platform with more available internship opportunities, but a lot and not just 1-2.
"
"2026/07/07 4:42:45 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","No","3","Yes","Internship information or announcements;Employer or alumni events;One-to-one advising","2","2","2","3","1","3","2","1","1","The available services did not seem relevant to my field","1","4","4","3","Earlier communication about internship opportunities","Not reaching students enough ","Maybe they could offer internships in university itself, put students on projects, create projects and give students a job. "
"2026/07/07 4:55:17 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","3","3","4","3","2","5","4","4","4","I planned to use them later","4","5","4","4","One central internship information platform","its not fully organized and there is no help with cv or interviews","a dedicated platform to this issue, mock interviews"
"2026/07/07 5:00:16 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","2","No","","","","","","","","","","","I knew about them but did not need them","3","3","4","4","More employer and alumni networking events","they are not popular enough so some people dont know how to access them","more broadcasting and networking events."
"2026/07/07 5:03:47 pm GMT+4","Yes, I agree to participate","4th year","Management","No","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","3","4","2","More school-specific internship guidance","for management students there are not that many opportunities ","provide similar opportunities for all students because internships are very useful"
"2026/07/07 5:06:24 pm GMT+4","Yes, I agree to participate","4th year","Mathematics","No","No","1","No","","","","","","","","","","","The available services did not seem relevant to my field","1","2","3","2","More school-specific internship guidance","Math students can't really do much internship-wise here","more support for mathematicians "
"2026/07/07 7:18:45 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","2","4","1","2","Earlier communication about internship opportunities","I had no idea that they existed at all","Inform us more, maybe outside of outlook, I don't really check that outside of my classes, like physical location that is located in the lobby "
"2026/07/07 7:20:42 pm GMT+4","Yes, I agree to participate","4th year","Mathematics","Yes","No","5","No","","","","","","","","","","","I knew about them but did not need them","5","5","5","4","More employer and alumni networking events","They are useless","Connect students directly with companies in mass events"
"2026/07/08 1:39:17 pm GMT+4","Yes, I agree to participate","2nd year","Mathematics","No","No","3","Yes","Internship information or announcements","2","4","3","3","3","3","4","3","3","I planned to use them later","2","3","2","2","More school-specific internship guidance","Not enough math projects, we have a choice to go with project and internship is considered too hard","give easier internships"
"2026/07/08 2:01:32 pm GMT+4","Yes, I agree to participate","4th year","Management","Yes","Yes","4","Yes","Employer or alumni events;One-to-one advising","4","3","4","3","2","4","3","4","3","","4","4","2","2","More mock interview practice","In my experience they could not help me with my interview","As I chose in multi question, better mock interviews or something equivalent"
"2026/07/08 2:23:25 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","2","2","2","2","Earlier communication about internship opportunities","I'm not sure because we have not discussed internships yet","give more information to all students"
"2026/07/08 2:24:56 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I planned to use them later","3","3","3","3","More employer and alumni networking events","I think there are not enough opportunities ","If there were more events where we could make connections "
"2026/07/08 2:27:11 pm GMT+4","Yes, I agree to participate","2nd year","Management","No","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","3","3","2","More CV or resume support","We are not informed or guided through our cv/interview processes","think about all aspects of internships and help us through them"
"2026/07/08 2:30:47 pm GMT+4","Yes, I agree to participate","2nd year","Mathematics","No","No","2","No","","","","","","","","","","","The available services did not seem relevant to my field","2","4","4","3","More school-specific internship guidance","I think internships are more cs-oriented, from what I've heard from my friends. It would be nice if others got attention too.","like i said, if other schools got enough attention about internships"
